sim.cycle	Age	Cell_count_Reproduction	AvgFitness	SDFitness	PopulationScale	EnvEffect	AsymCellDiv	SymCellDiv	CellSurvived	CellKilled	Cell_count_Late
73.0	63.0	499.0	1.0	0.1	1.002	100.1	2.0	196.0	104.0	197.0	498.0
74.0	64.0	498.0	1.0	0.1	1.00402	100.1	3.0	191.0	117.0	187.0	502.0
75.0	65.0	502.0	1.0	0.1	0.996016	100.1	1.0	175.0	105.0	221.0	456.0
76.0	66.0	456.0	1.0	0.1	1.09649	100.1	2.0	188.0	115.0	151.0	493.0
77.0	67.0	493.0	1.0	0.1	1.0142	100.1	1.0	185.0	102.0	205.0	473.0
78.0	68.0	473.0	1.0	0.1	1.05708	100.1	1.0	191.0	108.0	173.0	491.0
79.0	69.0	491.0	1.0	0.1	1.01833	100.1	1.0	200.0	114.0	176.0	515.0
80.0	70.0	515.0	1.0	0.1	0.970874	100.1	0.0	195.0	96.0	224.0	486.0
81.0	71.0	486.0	1.0	0.1	1.02881	100.1	1.0	201.0	103.0	181.0	506.0
82.0	72.0	506.0	1.0	0.1	0.988142	100.1	0.0	195.0	97.0	214.0	487.0
83.0	73.0	487.0	1.0	0.1	1.02669	100.1	1.0	183.0	119.0	184.0	486.0
84.0	74.0	486.0	1.0	0.1	1.02881	100.1	0.0	199.0	109.0	178.0	507.0
85.0	75.0	507.0	1.0	0.1	0.986193	100.1	4.0	203.0	108.0	192.0	518.0
86.0	76.0	518.0	1.0	0.1	0.965251	100.1	0.0	198.0	95.0	225.0	491.0
87.0	77.0	491.0	1.0	0.1	1.01833	100.1	3.0	193.0	99.0	196.0	488.0
88.0	78.0	488.0	1.0	0.1	1.02459	100.1	2.0	191.0	105.0	190.0	489.0
89.0	79.0	489.0	1.0	0.1	1.02249	100.1	4.0	181.0	101.0	203.0	467.0
90.0	80.0	467.0	1.0	0.1	1.07066	100.1	2.0	198.0	100.0	167.0	498.0
91.0	81.0	498.0	1.0	0.1	1.00402	100.1	2.0	184.0	119.0	193.0	489.0
92.0	82.0	489.0	1.0	0.1	1.02249	100.1	2.0	213.0	89.0	185.0	517.0
93.0	83.0	517.0	1.0	0.1	0.967118	100.1	5.0	199.0	115.0	198.0	518.0
94.0	84.0	518.0	1.0	0.1	0.965251	100.1	1.0	207.0	102.0	208.0	517.0
95.0	85.0	517.0	1.0	0.1	0.967118	100.1	2.0	183.0	104.0	228.0	472.0
96.0	86.0	472.0	1.0	0.1	1.05932	100.1	3.0	156.0	145.0	168.0	460.0
97.0	87.0	460.0	1.0	0.1	1.08696	100.1	1.0	182.0	117.0	160.0	482.0
98.0	88.0	482.0	1.0	0.1	1.03734	100.1	3.0	201.0	101.0	177.0	506.0
99.0	89.0	506.0	1.0	0.1	0.988142	100.1	2.0	200.0	96.0	208.0	498.0
100.0	90.0	498.0	1.0	0.1	1.00402	100.1	3.0	182.0	122.0	191.0	489.0
101.0	91.0	489.0	1.0	0.1	1.02249	100.1	2.0	196.0	105.0	186.0	499.0
102.0	92.0	499.0	1.0	0.1	1.002	100.1	3.0	186.0	102.0	208.0	477.0
103.0	93.0	477.0	1.0	0.1	1.04822	100.1	0.0	166.0	106.0	205.0	438.0
104.0	94.0	438.0	1.0	0.1	1.14155	100.1	3.0	165.0	138.0	132.0	471.0
105.0	95.0	471.0	1.0	0.1	1.06157	100.1	3.0	178.0	126.0	164.0	485.0
106.0	96.0	485.0	1.0	0.1	1.03093	100.1	3.0	199.0	108.0	175.0	509.0
107.0	97.0	509.0	1.0	0.1	0.982318	100.1	1.0	182.0	123.0	203.0	488.0
108.0	98.0	488.0	1.0	0.1	1.02459	100.1	0.0	205.0	84.0	199.0	494.0
109.0	99.0	494.0	1.0	0.1	1.01215	100.1	1.0	212.0	92.0	189.0	517.0
