ModelName,modelType,mutationRate,m1_dominance,m1_effect,m2_dominance,m2_effect,m2_convertToSubstitution,g1_mutationFraction,chromosomeEnd,recombinationRate,initialPopSize,cloneCount,targetSize,maxAge,mutationIntroTick,mutationPosition,simulationEndTick,treeOutputFile
ClonalGrowth,nonWF,0,0.5,0,0.5,0.6,F,0.4,99999,0,1,2,150,100,1,5000,200,ABC
ClonalGrowth,WF,0,0.5,0,0.5,0.3,F,0.001,99999,0,1,0,0,0,10,5000,200,Beneficial_Mutation_Growth
ClonalGrowth,WF,0,0.5,0,0.5,0.3,F,0.001,99999,0,1,0,0,0,10,5000,200,XYZ
