ModelName,modelType,mutationRate,m1_dominance,m1_effect,m2_dominance,m2_effect,m2_convertToSubstitution,g1_mutationFraction,chromosomeEnd,recombinationRate,initialPopSize,cloneCount,targetSize,maxAge,mutationIntroTick,mutationPosition,simulationEndTick,treeOutputFile
Metastasis,nonWF,0,0.5,0,0.5,0.6,F,0.001,99999,0,1,2,150,2,10,10000,100,S3
Metastasis,WF,0,0.5,0,0.5,0.3,F,0.001,99999,0,100,0,0,0,10,5000,200,Beneficial_Mutation_Migration
Metastasis,WF,0,0.5,0,0.5,0.3,F,0.001,99999,0,11,4,0,4,10,5000,200,MNO
